First Name,Gender,Start Date,Salary,Mgmt,Team
Heather,Female,7/11/98,43026,False,IT
Cynthia,Female,3/21/94,142321,False,Finance
Laura,,7/19/14,140371,True,Marketing
Tina,Female,6/16/16,100705,True,Marketing
Harold,Male,1/2/85,77544,False,Business Dev
Melissa,Female,6/21/05,48109,False,Finance
Aaron,Male,2/17/12,61602,True,Marketing
Jack,Male,1/12/97,103902,False,IT
Phyllis,Female,10/11/96,136984,True,Finance
John,Male,12/23/89,80740,False,Marketing
Kathy,Female,3/9/96,91712,False,Finance
Paul,Male,8/4/93,42146,False,Legal
Steven,Male,4/23/13,68680,False,Legal
Russell,,5/5/88,133980,True,Legal
Christopher,Male,4/22/00,37919,False,
Shirley,Female,6/20/01,147113,False,Legal
Bonnie,Female,12/17/99,42153,True,Business Dev
Willie,Male,11/27/03,64363,False,Marketing
Tina,Female,6/12/09,114767,True,Engineering
Ashley,Female,8/4/02,58698,True,Business Dev
Pamela,Female,7/1/82,54585,False,Product
,Male,6/22/91,76189,,Legal
Steven,Male,3/1/95,109095,False,Finance
Andrea,Female,1/12/12,120204,False,Business Dev
Paul,Male,6/3/08,41054,False,Marketing
Peter,Male,11/17/94,84885,False,Business Dev
Kathleen,,5/9/16,119735,False,Product
Christina,Female,4/13/12,110169,True,Engineering
Helen,Female,11/29/01,73789,True,Product
Marilyn,Female,11/16/83,76078,True,Product
Patricia,Female,9/1/03,49368,False,HR
Michelle,Female,3/30/84,57325,True,HR
William,Male,9/29/02,66521,False,HR
Kenneth,Male,8/25/87,127654,True,IT
Antonio,Male,10/25/88,60866,True,Business Dev
Shirley,Female,5/1/84,41334,True,HR
Rebecca,Female,7/10/92,94231,False,Product
Carlos,Male,1/4/95,146670,False,HR
Lois,Female,12/25/87,106317,True,IT
Carolyn,Female,4/9/11,109260,True,Business Dev
Gloria,Female,6/29/07,134148,True,Legal
Henry,Male,4/24/95,43542,False,Legal
Adam,Male,5/21/11,95327,False,Distribution
Ashley,Female,5/25/06,112238,True,Engineering
,Female,10/3/90,132373,,
Shirley,Female,2/28/81,113850,False,Marketing
Adam,Male,12/24/90,110194,True,Product
Elizabeth,Female,10/9/03,146129,False,Finance
Teresa,,1/28/16,140013,True,Engineering
Nicole,,3/5/82,122717,False,Sales
Jennifer,Female,4/4/09,71715,True,IT
Patricia,Female,11/25/92,95322,False,Product
Philip,Male,7/17/08,89227,False,Legal
Patrick,,7/14/91,124488,True,Sales
,Female,8/17/14,86230,,Distribution
Sean,Male,5/4/96,135490,False,Marketing
Brandon,,11/3/97,121333,False,Business Dev
Ruth,Female,8/19/99,129297,True,IT
Victor,,3/10/11,84546,True,Finance
Rebecca,Female,11/15/80,85730,True,Product
Marie,Female,3/16/03,104058,True,Business Dev
Howard,Male,4/27/92,105062,False,HR
,Female,7/27/05,79536,,Product
Norma,Female,2/28/99,114412,True,Marketing
James,,11/22/83,68501,False,Marketing
Kathy,Female,3/18/00,149563,True,Finance
Marilyn,,8/22/99,103386,False,Distribution
Arthur,Male,4/13/98,89786,True,Legal
Terry,Male,9/3/90,52226,False,IT
Mary,Female,8/13/99,134645,False,Business Dev
,Female,3/23/14,59148,,Legal
,Female,7/9/91,42341,,Sales
Christopher,Male,12/24/11,142178,True,Sales
Peter,,9/3/87,38989,True,Marketing
Michelle,Female,11/4/96,53754,True,Product
Irene,Female,1/29/92,133772,True,Sales
Patrick,Male,8/17/07,143499,True,Engineering
Sara,Female,9/23/91,97058,False,Finance
Lillian,Female,12/21/08,85446,True,Engineering
,,9/18/07,40297,,IT
Willie,Male,2/17/98,146651,True,Engineering
Victor,Male,1/8/03,124486,False,Product
Wayne,Male,4/7/12,102652,True,Distribution
Jane,Female,9/3/97,144474,False,Product
Jessica,Female,10/23/95,68759,True,Finance
Mark,Male,4/12/08,57286,True,Business Dev
Randy,Male,11/14/99,58129,True,Distribution
Lillian,Female,6/19/99,123940,True,Business Dev
Ruth,,5/18/99,98233,True,Distribution
Jerry,Male,12/18/03,140810,True,IT
Sandra,Female,1/19/83,42090,True,Legal
,Female,2/23/05,149654,,Sales
Roger,Male,11/19/04,51430,False,Marketing
Charles,Male,10/14/00,71749,False,Legal
Clarence,Male,5/2/98,85700,False,Sales
Carol,Female,3/19/96,57783,False,Finance
Lois,Female,10/18/13,36946,False,Engineering
Barbara,,5/3/03,99326,True,Legal
Rebecca,Female,2/18/95,109259,True,Legal
Irene,Female,1/30/04,131038,False,Distribution
Ronald,Male,4/30/14,121068,True,Product
Steven,Male,11/10/85,62719,False,IT
Carolyn,Female,11/6/12,69268,False,IT
Maria,Female,12/27/90,36067,True,Product
Jonathan,Male,7/17/09,130581,True,
Gary,Male,8/12/87,89661,False,Finance
Kimberly,Female,7/15/97,36643,False,Marketing
Roger,Male,11/8/82,140558,True,Sales
Diana,Female,1/4/13,103521,True,Business Dev
Willie,Male,6/6/06,55281,True,Marketing
Brandon,Male,3/27/06,115711,True,Finance
Patricia,Female,12/6/12,114079,True,IT
Katherine,Female,11/14/99,57531,False,IT
Jonathan,Male,10/12/87,141069,False,HR
Emily,Female,9/20/07,89434,False,Engineering
Ruth,Female,8/12/86,44639,True,Legal
Linda,Female,6/24/06,110967,True,HR
Lisa,Female,11/2/09,115387,False,IT
Evelyn,Female,5/24/80,81673,True,Engineering
Julie,Female,7/23/89,109588,False,Engineering
Mary,Female,5/30/09,92544,False,IT
Matthew,Male,7/31/13,142373,False,Marketing
Douglas,Male,9/3/99,83341,True,IT
Gregory,,6/15/92,98865,True,Finance
Billy,Male,3/13/95,120444,True,Finance
,Female,6/17/91,71945,,Marketing
Gregory,Male,1/29/00,109564,False,Legal
Jason,Male,10/17/99,78417,False,Finance
Daniel,Male,4/30/10,106947,True,Legal
Sarah,Female,9/14/95,87298,False,Distribution
Harry,Male,10/1/15,64579,True,Sales
Kathy,Female,4/19/95,50905,True,Finance
Todd,Male,4/13/99,59728,True,IT
Bobby,Male,9/23/94,51685,True,Engineering
Jeremy,Male,6/8/00,49542,True,Distribution
George,,2/24/88,38375,False,Legal
Diane,Female,4/18/93,64084,False,Product
Marilyn,Female,4/4/97,147663,False,HR
Kathryn,Female,2/4/04,73935,False,Sales
Irene,Female,2/4/82,40837,True,IT
Norma,Female,2/11/15,94393,True,Engineering
Laura,Female,4/2/06,42087,False,Product
Cheryl,Female,9/23/08,52080,False,Legal
Kevin,Male,3/25/82,35061,False,Legal
Lillian,,5/12/16,64164,False,HR
Phyllis,,4/21/84,94088,False,Distribution
Walter,Male,7/6/83,127813,False,Finance
Robert,Male,10/27/90,38041,True,Engineering
Jimmy,Male,10/7/86,126310,True,Product
Clarence,Male,10/8/96,142561,False,IT
Victor,Male,4/11/91,70817,False,Engineering
Fred,,12/2/84,59937,True,HR
Brenda,,7/27/10,106115,True,Product
Justin,Male,12/6/92,82782,True,Distribution
Betty,Female,6/12/02,104896,True,Business Dev
Randy,,2/6/86,133943,True,Sales
Sharon,,3/1/90,83658,False,Business Dev
Ralph,Male,11/11/04,71896,True,Marketing
,,4/28/03,113732,,Sales
Edward,Male,5/27/85,110485,False,IT
Denise,Female,3/20/09,115118,False,HR
Debra,Female,3/13/98,48696,False,Legal
,Male,11/25/99,42676,,Sales
Michael,Male,1/24/02,43586,False,
Henry,Male,2/6/95,89258,True,HR
Gloria,Female,3/27/07,90730,False,Distribution
Marie,Female,8/6/95,100308,False,Product
Anne,Female,7/16/86,69134,True,Engineering
Sarah,,11/21/85,58295,True,Engineering
Stephanie,Female,3/24/83,50141,True,HR
Roy,Male,9/23/04,101941,False,IT
,Female,8/5/09,115145,,Distribution
,Male,2/4/05,40451,,Distribution
Irene,Female,3/3/82,56526,True,Finance
,Female,8/2/92,145316,,HR
Thomas,Male,4/6/11,103235,True,HR
Frank,,11/20/01,58563,True,Marketing
Fred,Male,2/20/80,74129,False,Product
Nicholas,Male,4/12/94,74669,True,Product
Howard,Male,10/5/82,97490,True,Marketing
Debra,Female,2/22/94,104250,True,Business Dev
Christine,Female,7/3/89,94345,False,Finance
Brenda,,5/29/91,82439,False,Sales
Betty,Female,6/28/05,51613,False,Distribution
Ruby,Female,11/8/00,105946,False,Business Dev
Kevin,Male,7/12/97,46080,False,Business Dev
Arthur,Male,1/1/14,134610,True,HR
Carl,,2/7/14,125104,False,IT
Todd,Male,3/11/09,107281,True,Engineering
Brenda,Female,10/6/05,141521,False,IT
Judy,Female,9/16/97,65931,False,HR
Todd,Male,2/2/84,69989,True,Finance
Lois,Female,11/9/11,147183,True,IT
Walter,,12/21/99,66757,False,Distribution
Jessica,Female,9/27/85,75145,True,Legal
Jeremy,Male,6/14/88,129460,True,
Tammy,Female,11/11/84,132839,True,IT
Anne,Female,3/7/00,44537,True,IT
Jesse,Male,10/25/99,118733,False,Marketing
Virginia,Female,10/20/99,46905,False,Distribution
Jesse,Male,3/2/81,79582,False,Legal
Jeremy,,11/10/96,55394,True,Sales
Daniel,Male,9/15/07,123811,True,HR
Patrick,,8/30/04,137314,True,Marketing
Emily,Female,1/13/88,36711,True,HR
Alan,Male,6/26/88,111786,True,Engineering
James,Male,7/11/15,72257,False,Engineering
Adam,Male,7/5/07,71276,True,HR
Joan,,7/25/80,38712,False,IT
Jeremy,Male,8/12/81,46930,True,Finance
Margaret,Female,2/6/93,125220,False,Marketing
Mark,Male,4/1/84,121477,True,Business Dev
Marilyn,Female,9/26/81,86386,False,Distribution
Cheryl,Female,9/8/09,81308,True,Legal
Benjamin,Male,9/11/84,84810,False,Marketing
Harold,Male,2/20/90,66775,True,Legal
Ernest,,1/18/02,72145,True,Finance
Gerald,Male,4/16/01,121604,True,Sales
Judy,Female,7/1/91,109510,True,Legal
Bobby,Male,3/31/96,112117,False,
Bobby,,9/1/95,108127,False,IT
Marie,Female,10/3/13,123711,False,Product
Kathy,Female,12/18/13,132381,False,Business Dev
Roy,Male,8/6/06,148225,False,Finance
Jacqueline,Female,11/25/81,145988,False,Marketing
,Female,7/8/08,62960,,Sales
Julie,Female,3/23/86,56926,False,Sales
Douglas,Male,1/8/02,41428,False,Product
Linda,Female,12/16/90,115658,True,Sales
Ruby,Female,12/10/88,76707,False,Business Dev
Russell,Male,1/2/05,60388,False,IT
Jeffrey,Male,6/18/97,45150,True,Product
Aaron,Male,1/29/94,58755,True,Marketing
Samuel,Male,12/19/91,76076,True,Finance
,Male,1/27/10,87760,,Engineering
Randy,Male,3/16/14,135119,False,IT
Evelyn,Female,9/3/83,36759,True,Marketing
Fred,Male,2/13/87,121723,True,Product
Shirley,Female,6/8/86,110061,False,IT
Todd,Male,5/23/11,85074,False,IT
Robert,Male,11/18/14,85799,False,Finance
Mark,Male,1/22/07,75150,True,Legal
Earl,Male,1/5/00,91344,True,Sales
Richard,Male,9/27/05,86326,False,Product
Michael,Male,11/22/91,98753,True,HR
Steven,Male,5/12/09,113060,True,Sales
Carlos,Male,9/19/07,77327,True,Finance
Marie,Female,10/20/11,62666,False,Product
Ronald,Male,2/24/09,96633,True,Engineering
Scott,Male,5/12/09,58248,False,Business Dev
Steven,Male,11/21/06,83706,True,HR
James,Male,11/22/98,74086,True,HR
Lori,Female,3/31/88,95389,False,Sales
Philip,Male,8/2/89,129968,False,Finance
Phyllis,Female,11/24/05,140347,False,Sales
Thomas,,8/31/95,41549,False,Sales
Cynthia,Female,12/3/12,74287,False,Sales
,Male,10/9/11,69906,,Engineering
,Male,4/22/97,65078,,Marketing
Elizabeth,Female,11/10/05,106406,True,Legal
Andrea,Female,9/14/03,115913,False,Legal
Judy,Female,2/1/90,38092,False,Distribution
Russell,Male,8/13/14,121160,False,Engineering
Scott,Male,12/17/11,90429,False,Product
Sarah,Female,5/22/94,64207,True,IT
Susan,Female,9/25/04,80688,True,Sales
Margaret,Female,5/5/14,55044,False,Sales
Joshua,Male,11/9/09,72893,False,Distribution
Justin,,4/15/05,96978,False,Finance
Juan,Male,4/16/02,97364,False,Product
Gloria,,7/19/83,140885,False,HR
Jennifer,,1/24/89,58520,True,IT
Edward,Male,8/4/89,66067,True,
Marilyn,Female,12/17/82,147183,False,Business Dev
Mary,Female,10/18/09,87721,False,Product
Linda,Female,7/15/09,144001,False,Business Dev
Larry,Male,8/27/03,91133,False,Sales
Albert,Male,2/1/97,67827,True,Engineering
Kenneth,Male,4/13/99,81839,False,Sales
,Female,12/31/06,81444,,Distribution
Gregory,,7/9/11,137661,True,Sales
Brandon,Male,10/16/15,112548,False,Engineering
Stephen,Male,4/9/87,111249,True,HR
Russell,Male,10/30/94,114334,False,Product
,Female,9/18/02,118906,,Marketing
Pamela,,7/15/01,72979,False,Sales
Scott,Male,8/3/96,64172,True,Engineering
,Female,4/18/96,107024,,
Carlos,Male,7/28/10,50167,False,Product
Jack,Male,12/24/80,106995,False,Product
Debra,Female,1/19/10,70492,False,IT
Phyllis,Female,1/15/95,125881,False,Sales
Robert,Male,10/29/94,123294,False,IT
Gloria,Female,9/19/89,131045,True,Product
Sharon,,10/28/84,97635,True,IT
Barbara,,4/26/01,94493,True,Sales
Marilyn,Female,8/15/89,140502,True,Sales
Ralph,Male,10/27/10,106310,True,IT
Harry,,12/5/96,46240,True,Engineering
Robin,Female,1/8/98,111163,True,Product
Kathy,Female,11/25/01,93753,True,Sales
Rose,Female,7/6/02,63494,True,HR
Clarence,Male,1/13/05,116693,True,Distribution
Doris,Female,7/29/92,85215,True,HR
Kathryn,Female,6/9/88,86439,False,Finance
Billy,,3/16/04,62913,True,Marketing
Norma,Female,4/16/96,38872,True,Business Dev
Richard,,11/28/92,124655,True,Engineering
Craig,Male,2/8/84,113506,False,Marketing
Sarah,,7/20/90,109980,False,Sales
Sharon,Female,3/9/14,91522,False,Finance
Mary,Female,8/22/10,42214,True,Business Dev
Steve,,2/23/02,83159,True,Distribution
Joe,Male,12/5/10,144082,True,IT
Jeremy,Male,5/29/94,47885,True,HR
Ernest,Male,8/14/12,126232,True,Sales
Kevin,Male,6/23/81,134598,False,Business Dev
Jacqueline,Female,2/11/07,66604,False,Legal
Johnny,Male,9/14/92,115194,True,Marketing
Gary,Male,8/18/11,49101,True,Business Dev
Shirley,,11/16/90,67811,False,Finance
,Male,6/29/08,111043,,Distribution
Sarah,,8/31/81,37748,False,HR
Julia,Female,3/2/82,36403,True,Finance
Dorothy,Female,11/5/13,140136,True,Business Dev
Justin,Male,5/22/86,121508,True,Finance
Kevin,Male,11/20/86,79906,True,Sales
Victor,Male,9/24/05,123144,True,Product
Deborah,Female,11/25/80,46953,False,IT
Matthew,,6/9/03,79443,False,HR
Alice,Female,5/2/86,51395,True,Finance
Todd,Male,3/16/16,134408,True,HR
Frank,Male,1/10/81,71853,True,Sales
Christopher,Male,5/13/99,68028,True,Finance
Rose,Female,5/28/15,149903,False,HR
Andrea,Female,10/1/10,79123,False,Distribution
Charles,Male,12/16/99,104014,False,Legal
Jessica,,3/7/15,121160,False,IT
Wanda,Female,7/20/08,65362,True,Legal
Joyce,Female,2/7/95,50701,True,
Billy,Male,12/1/06,144709,True,Distribution
Kathryn,Female,8/29/07,53061,True,Finance
Denise,Female,3/18/01,36697,True,Sales
Jason,Male,11/20/98,69244,True,
Nicholas,Male,3/1/13,101036,True,HR
Aaron,Male,7/22/90,52119,True,IT
Louise,Female,5/13/03,46666,True,Business Dev
Julie,Female,4/23/98,73437,True,Finance
Kathy,Female,5/8/87,86318,True,Sales
,Male,5/24/16,76409,,Distribution
Chris,Male,12/12/06,71642,False,
Cheryl,Female,8/16/94,67150,True,Marketing
Gregory,Male,5/15/09,142208,True,Engineering
Wayne,Male,1/30/92,81183,False,IT
Beverly,Female,11/30/05,107163,True,HR
Willie,Male,8/22/09,55038,False,Legal
Terry,,7/15/16,140002,True,Marketing
Scott,Male,11/17/12,146812,True,Marketing
Annie,Female,12/19/94,40119,True,HR
,Male,2/21/95,136602,,Marketing
Ruth,Female,10/24/00,69579,True,HR
Deborah,,2/3/83,101457,False,Engineering
Patricia,Female,1/9/15,121232,False,Legal
Albert,Male,9/30/07,102626,False,Finance
Charles,,3/1/87,137171,True,Marketing
Tina,Female,1/17/05,88276,False,Legal
Jeremy,Male,8/9/01,43354,False,Marketing
Craig,Male,4/14/96,125556,False,Engineering
Jose,Male,7/11/02,59862,False,Product
Lawrence,Male,5/13/05,74640,False,Marketing
Helen,Female,10/31/97,52875,False,Legal
Walter,Male,8/4/07,58789,False,Sales
Amy,Female,6/19/02,122897,True,Engineering
Janice,Female,6/28/97,136032,True,Marketing
Stephen,Male,5/9/15,141958,True,Legal
Ryan,Male,7/20/93,139917,False,Distribution
Sharon,Female,3/12/02,147635,False,HR
Joshua,Male,7/10/84,68230,False,IT
Clarence,Male,8/20/92,124365,False,Business Dev
Jonathan,Male,8/15/02,104749,False,Engineering
Stephanie,Female,11/26/92,122121,True,Engineering
Kathy,Female,10/25/96,143541,False,HR
Albert,Male,8/14/08,137840,False,Business Dev
Michael,Male,5/22/11,73354,False,Business Dev
Richard,Male,7/4/97,47647,True,
Amy,Female,3/30/08,106249,False,Sales
,Female,4/27/13,93847,,Business Dev
Beverly,,5/3/95,104815,False,Product
,Female,4/26/92,115436,,HR
Joe,Male,4/14/00,50645,False,Marketing
Ashley,Female,8/15/97,142415,True,Finance
Howard,Male,4/9/12,37984,False,Distribution
Cheryl,Female,12/3/14,71751,False,Business Dev
Robert,Male,3/11/07,135882,False,Legal
Sharon,Female,7/1/11,46007,True,IT
Judith,Female,11/23/07,117055,False,Marketing
Nicholas,,9/9/89,58478,True,Distribution
Jerry,Male,1/30/95,121357,False,Business Dev
Craig,Male,11/1/05,44857,False,Finance
Barbara,Female,3/21/02,47322,True,Sales
Eugene,Male,5/24/84,81077,False,Sales
Johnny,Male,2/26/16,76394,True,Marketing
Benjamin,Male,5/5/13,114356,False,IT
Diana,Female,6/13/94,41831,False,Business Dev
Barbara,,12/10/80,90187,True,Distribution
Christine,Female,2/1/03,72613,False,Legal
Sean,Male,2/11/13,42748,False,Distribution
Sarah,Female,11/3/80,37259,False,IT
Roger,Male,8/3/15,125033,True,Marketing
,Female,6/24/14,38275,,Distribution
,Male,4/20/80,71520,,Engineering
Donald,Male,7/14/95,106472,True,IT
Clarence,Male,11/3/15,103684,True,Engineering
Scott,Male,11/23/96,96111,False,HR
Ann,Female,11/4/84,90719,False,Business Dev
Frank,Male,4/27/03,140303,False,Legal
Joe,Male,7/4/83,62161,True,Business Dev
Wanda,Female,4/6/93,78883,False,
Jimmy,Male,11/19/13,63549,False,
Amy,,12/25/84,63888,True,Product
Larry,Male,1/8/99,97370,False,Sales
Gloria,Female,4/12/92,66224,True,Legal
Ruth,Female,12/12/96,97915,True,HR
Diana,Female,1/19/95,86883,True,Product
Raymond,Male,2/16/09,37812,False,HR
Peter,Male,2/22/03,56580,True,
,,9/25/81,83895,,Engineering
Catherine,Female,8/31/13,58047,True,Distribution
Diane,Female,7/5/82,124889,True,Sales
Peter,,10/13/14,118840,True,IT
Steve,Male,8/22/95,67780,True,HR
Barbara,Female,3/22/04,144677,False,Finance
Helen,,12/2/93,45724,False,Product
Jimmy,,8/26/83,86676,True,Product
Christopher,Male,4/23/14,82401,False,IT
Kathleen,Female,6/13/14,35575,False,Distribution
Virginia,Female,5/2/10,123649,True,Marketing
Lisa,Female,2/26/05,38078,True,Product
Earl,Male,2/11/14,52620,False,Product
Gerald,,1/8/92,133366,False,Legal
Louise,Female,9/18/81,91462,False,Marketing
Clarence,Male,8/26/82,146589,True,Business Dev
Cynthia,Female,9/14/91,51633,True,Business Dev
Adam,Male,10/8/10,45181,False,HR
Justin,Male,9/6/99,62454,True,Sales
,Female,12/2/09,84746,,Finance
Ruby,Female,5/1/99,147362,True,Engineering
Amanda,Female,8/1/04,80803,True,Distribution
Anna,Female,4/15/08,117293,False,IT
Roger,Male,7/3/10,105689,True,Marketing
Julie,,2/4/99,93302,True,Product
Joseph,Male,9/10/92,102555,True,Product
Evelyn,Female,9/22/98,51525,False,Finance
Janice,Female,1/2/84,41190,True,Sales
Sara,Female,2/25/80,75484,False,Finance
Gregory,Male,6/18/84,82726,True,Marketing
Philip,Male,7/18/85,122319,False,Engineering
Barbara,Female,9/2/91,127297,True,Product
Amanda,Female,6/7/02,109290,False,Engineering
Phyllis,,10/25/85,99150,False,IT
Anne,Female,10/26/96,71930,True,Product
Arthur,Male,12/16/14,66819,True,Marketing
Jane,Female,6/1/94,42424,False,Distribution
Linda,Female,8/18/85,51431,False,Engineering
Ashley,Female,11/17/99,120675,False,HR
Shawn,Male,12/3/09,96610,True,IT
Kathleen,Female,9/20/96,71430,False,Engineering
Sara,,10/7/83,87713,True,Legal
Randy,Male,5/2/02,86723,False,Engineering
Andrew,Male,3/29/85,43414,True,IT
Marilyn,Female,8/9/06,87145,False,HR
Johnny,Male,1/8/95,91124,True,Distribution
,Female,4/1/80,48141,,
Susan,Female,4/18/86,90829,False,Marketing
Ruby,Female,7/7/80,101262,False,IT
Kelly,Female,8/16/96,41427,False,Product
Jonathan,Male,4/6/95,56993,False,Marketing
Raymond,Male,1/13/96,114244,False,HR
Kimberly,Female,12/30/81,81800,True,
,Female,1/13/09,118736,,IT
John,Male,1/22/95,66077,True,Product
Michael,Male,7/30/93,35013,False,Product
Jerry,Male,5/4/03,98393,False,IT
Amanda,Female,3/17/82,107111,True,Product
Harold,Male,10/18/10,65673,True,Legal
Harry,Male,1/27/85,65482,False,
Ernest,Male,1/28/90,81919,False,Marketing
Harry,Male,11/19/82,59277,False,Finance
Diane,Female,2/2/88,49501,False,Business Dev
Jack,Male,5/30/12,70367,True,Legal
Shirley,Female,4/16/88,132156,False,Marketing
Rose,Female,10/30/04,56961,False,Marketing
Cheryl,Female,7/23/82,98841,True,IT
Cynthia,Female,5/23/80,78226,False,HR
Sandra,Female,4/24/95,116931,True,HR
Andrea,Female,10/30/94,87575,True,Business Dev
Rachel,Female,4/22/88,110924,False,Distribution
Justin,Male,5/24/81,78351,False,Sales
Marie,Female,11/23/00,125574,False,Sales
Louis,Male,4/15/11,95198,False,Business Dev
Nancy,Female,5/7/85,121006,True,Finance
Mark,Male,10/3/84,95728,True,Business Dev
Teresa,Female,6/24/87,69740,False,Distribution
Frances,Female,7/21/01,91996,False,Product
,Female,10/11/90,98385,,HR
Barbara,,12/20/94,90556,True,Distribution
Christine,,6/15/80,50366,True,Marketing
Bobby,,7/21/03,84232,True,Engineering
Carl,,10/26/91,100888,True,Business Dev
Bruce,Male,3/15/13,141335,True,Engineering
Rose,Female,5/20/82,97691,False,IT
Mildred,Female,2/21/81,47266,False,IT
,Male,10/13/83,139754,,Sales
,Female,10/24/93,116236,,Engineering
Todd,Male,2/16/10,103405,False,Sales
Alan,Male,2/17/12,41453,False,Product
Elizabeth,,2/16/81,52730,False,Marketing
Julie,,10/21/00,60361,True,Distribution
Teresa,,1/3/92,63103,False,Finance
Eric,Male,11/12/04,65168,False,Distribution
Edward,Male,8/30/01,73105,True,Engineering
Kimberly,Female,12/6/86,37916,True,Distribution
Kathy,Female,1/14/01,45682,True,Marketing
Peter,Male,11/24/92,69297,False,Finance
Beverly,Female,10/22/90,59070,True,Engineering
Ralph,Male,3/7/12,81215,False,Finance
Justin,Male,8/10/97,128036,False,IT
Irene,Female,6/23/05,89780,True,Sales
Irene,Female,11/29/06,125018,True,Legal
Jeremy,Male,11/26/97,133033,False,Sales
Cynthia,Female,6/29/15,82408,True,Marketing
,Female,4/13/97,131755,,
Anne,Female,11/21/84,128305,False,Marketing
,,9/2/88,147309,,Distribution
Debra,Female,3/12/83,74911,False,Marketing
Michael,Male,7/13/88,47079,False,Legal
Jason,,3/6/08,82873,False,IT
Rebecca,Female,2/23/90,134673,False,Engineering
